acl 2.2.53-2
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.34.3-1
alsa-firmware 1.0.29-2
alsa-lib 1.1.9-2
alsa-plugins 1.1.9-2
aom 1.0.0.errata1-1
arandr 0.1.10-4
archlinux-keyring 20191018-1
argon2 20190702-1
at-spi2-atk 2.34.1-1
at-spi2-core 2.34.0-1
atk 2.34.1-1
atkmm 2.28.0-1
attr 2.4.48-2
audit 2.8.5-6
avahi 0.7+18+g1b5f401-3
babl 0.1.72-1
base 2-1
bash 5.0.011-1
bash-completion 2.9-1
binutils 2.33.1-1
blas 3.8.0-2
brotli 1.0.7-3
bzip2 1.0.8-3
c-ares 1.15.0-1
ca-certificates 20181109-1
ca-certificates-mozilla 3.47-1
ca-certificates-utils 20181109-1
cairo 1.17.2+17+g52a7c79fd-2
cairo-perl 1.106-8
cairomm 1.12.2-3
cantarell-fonts 1:0.111-1
chromium 78.0.3904.97-2
cmatrix 2.0-1
code 1.40.0-3
colord 1.4.4+9+g1ce26da-1
consolas-font 1.1-1
coreutils 8.31-3
cracklib 2.9.7-1
cryptsetup 2.2.2-1
curl 7.67.0-3
dav1d 0.5.1-1
db 5.3.28-4
dbus 1.12.16-2
dbus-glib 0.110-1
dconf 0.34.0-1
desktop-file-utils 0.24-1
device-mapper 2.02.186-2
dhcpcd 8.1.1-2
diffutils 3.7-2
dmenu 4.9-1
dnssec-anchors 20190629-1
double-conversion 3.1.5-1
e2fsprogs 1.45.4-1
efibootmgr 16-1
efivar 37-1
electron6 6.1.4-2
exiv2 0.27.2-1
exo 0.12.8-1
expat 2.2.9-1
fakeroot 1.24-1
ffmpeg 1:4.2.1-4
ffmpegthumbnailer 2.2.2-1
figlet 2.2.5-3
file 5.37-3
filesystem 2019.10-1
findutils 4.7.0-2
flac 1.3.3-1
flameshot 0.6.0-3
fontconfig 2:2.13.91+24+g75eadca-1
freetype2 2.10.1-1
fribidi 1.0.7-1
garcon 0.6.4-1
gawk 5.0.1-2
gc 8.0.4-2
gcc 9.2.0-4
gcc-libs 9.2.0-4
gdbm 1.18.1-2
gdk-pixbuf2 2.40.0-1
gegl 0.4.18-1
gettext 0.20.1-2
giflib 5.2.1-1
gimp 2.10.14-1
git 2.24.0-1
glib-networking 2.62.1-1
glib-perl 1.329-2
glib2 2.62.2-1
glibc 2.30-2
glibmm 2.62.0-1
gmp 6.1.2-2
gnome-themes-extra 3.28-1
gnu-free-fonts 20120503-7
gnupg 2.2.17-2
gnutls 3.6.10-1
gobject-introspection-runtime 1.62.0-3
gpgme 1.13.1-3
graphite 1:1.3.13-2
grep 3.3-2
groff 1.22.4-1
gsettings-desktop-schemas 3.34.0-1
gsfonts 20180524-2
gsm 1.0.18-1
gtk-update-icon-cache 1:3.24.12+32+g39e28ab933-1
gtk2 2.24.32-1
gtk2-perl 1.24992-4
gtk3 1:3.24.12+32+g39e28ab933-1
gtkmm3 3.24.2-1
guile 2.2.6-1
gwaterfall 0.1-2
gzip 1.10-2
harfbuzz 2.6.4-2
hicolor-icon-theme 0.17-1
htop 2.2.0-2
http-parser 2.9.2-1
hwids 20190818-1
iana-etc 20191030-1
icu 65.1-2
imlib2 1.5.1-1
imwheel 1.0.0pre12-5
intel-tbb 2019.9-2
iproute2 5.3.0-1
